,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,16,"12,12%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,61,"46,21%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,15,"11,36%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,20,"15,15%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1M
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,76%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,7,"5,30%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1M
19,7. FRANCO PARISI FERNANDEZ,PDG,12,"9,09%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1M
22,Válidamente Emitidos,132,"99,25%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1M
23,Votos Nulos,1,"0,75%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1M
24,Votos en Blanco,0,"0,00%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1M
25,Total Votación,133,"100,00%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1M
1,1. GABRIEL BORIC FONT,CS,14,"12,28%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,59,"51,75%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,12,"10,53%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,11,"9,65%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2M
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,7,"6,14%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2M
19,7. FRANCO PARISI FERNANDEZ,PDG,11,"9,65%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2M
22,Válidamente Emitidos,114,"100,00%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2M
23,Votos Nulos,,"0,00%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2M
24,Votos en Blanco,,"0,00%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2M
25,Total Votación,114,"100,00%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2M
1,1. GABRIEL BORIC FONT,CS,6,"4,62%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,71,"54,62%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,20,"15,38%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,11,"8,46%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3M
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,54%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,5,"3,85%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3M
19,7. FRANCO PARISI FERNANDEZ,PDG,15,"11,54%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3M
22,Válidamente Emitidos,130,"98,48%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3M
23,Votos Nulos,1,"0,76%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3M
24,Votos en Blanco,1,"0,76%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3M
25,Total Votación,132,"100,00%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3M
1,1. GABRIEL BORIC FONT,CS,15,"11,36%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,62,"46,97%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,10,"7,58%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,15,"11,36%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4M
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,76%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,9,"6,82%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4M
19,7. FRANCO PARISI FERNANDEZ,PDG,20,"15,15%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4M
22,Válidamente Emitidos,132,"99,25%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4M
23,Votos Nulos,1,"0,75%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4M
24,Votos en Blanco,0,"0,00%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4M
25,Total Votación,133,"100,00%",,DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4M
1,1. GABRIEL BORIC FONT,CS,17,"12,78%",DE LA ARAUCANIA,DISTRITO 22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5M
