,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,26,"23,01%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,1M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,27,"23,89%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,1M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,21,"18,58%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,1M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,11,"9,73%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,1M
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,1M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,10,"8,85%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,1M
19,7. FRANCO PARISI FERNANDEZ,PDG,18,"15,93%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,1M
22,Válidamente Emitidos,113,"98,26%",,DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,1M
23,Votos Nulos,1,"0,87%",,DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,1M
24,Votos en Blanco,1,"0,87%",,DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,1M
25,Total Votación,115,"100,00%",,DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,1M
1,1. GABRIEL BORIC FONT,CS,27,"25,23%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,2M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,10,"9,35%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,2M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,26,"24,30%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,2M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,12,"11,21%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,2M
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,93%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,2M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,18,"16,82%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,2M
19,7. FRANCO PARISI FERNANDEZ,PDG,13,"12,15%",DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,2M
22,Válidamente Emitidos,107,"96,40%",,DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,2M
23,Votos Nulos,3,"2,70%",,DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,2M
24,Votos en Blanco,1,"0,90%",,DE COQUIMBO,DISTRITO 5,ANDACOLLO,ANDACOLLO,ESCUELA LUIS CRUZ MARTINEZ,2M
