,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,35,"22,88%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,102
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,45,"29,41%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,102
7,3. YASNA PROVOSTE CAMPILLAY,PDC,14,"9,15%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,102
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,14,"9,15%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,102
13,5. EDUARDO ARTES BRICHETTI,UPA,6,"3,92%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,102
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,11,"7,19%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,102
19,7. FRANCO PARISI FERNANDEZ,PDG,28,"18,30%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,102
22,Válidamente Emitidos,153,"99,35%",,DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,102
23,Votos Nulos,1,"0,65%",,DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,102
24,Votos en Blanco,0,"0,00%",,DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,102
25,Total Votación,154,"100,00%",,DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,102
1,1. GABRIEL BORIC FONT,CS,44,"24,44%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,103
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,46,"25,56%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,103
7,3. YASNA PROVOSTE CAMPILLAY,PDC,24,"13,33%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,103
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,25,"13,89%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,103
13,5. EDUARDO ARTES BRICHETTI,UPA,4,"2,22%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,103
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,15,"8,33%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,103
19,7. FRANCO PARISI FERNANDEZ,PDG,22,"12,22%",DEL BIOBIO,DISTRITO 20,CHIGUAYANTE,CHIGUAYANTE,COLEGIO AURORA DE CHILE CHIGUAYANTE,103
