,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,22,"14,77%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,45M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,65,"43,62%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,45M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,12,"8,05%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,45M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,27,"18,12%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,45M
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,34%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,45M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,7,"4,70%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,45M
19,7. FRANCO PARISI FERNANDEZ,PDG,14,"9,40%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,45M
22,Válidamente Emitidos,149,"98,03%",,DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,45M
23,Votos Nulos,2,"1,32%",,DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,45M
24,Votos en Blanco,1,"0,66%",,DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,45M
25,Total Votación,152,"100,00%",,DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,45M
1,1. GABRIEL BORIC FONT,CS,16,"10,96%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,46M (Descuadrada)
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,71,"48,63%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,46M (Descuadrada)
7,3. YASNA PROVOSTE CAMPILLAY,PDC,20,"13,70%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,46M (Descuadrada)
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,20,"13,70%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,46M (Descuadrada)
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,46M (Descuadrada)
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,6,"4,11%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,46M (Descuadrada)
19,7. FRANCO PARISI FERNANDEZ,PDG,13,"8,90%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,46M (Descuadrada)
22,Válidamente Emitidos,146,"92,41%",,DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,46M (Descuadrada)
23,Votos Nulos,5,"3,16%",,DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,46M (Descuadrada)
24,Votos en Blanco,2,"1,27%",,DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,46M (Descuadrada)
25,Total Votación,158,"100,00%",,DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,46M (Descuadrada)
1,1. GABRIEL BORIC FONT,CS,22,"14,19%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,47M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,68,"43,87%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,47M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,20,"12,90%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,47M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,23,"14,84%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,47M
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,29%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,47M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,7,"4,52%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,47M
19,7. FRANCO PARISI FERNANDEZ,PDG,13,"8,39%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,47M
22,Válidamente Emitidos,155,"98,73%",,DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,47M
23,Votos Nulos,1,"0,64%",,DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,47M
24,Votos en Blanco,1,"0,64%",,DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,47M
25,Total Votación,157,"100,00%",,DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,47M
1,1. GABRIEL BORIC FONT,CS,25,"14,20%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,48M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,82,"46,59%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,48M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,19,"10,80%",DEL MAULE,DISTRITO 18,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,48M
