,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,19,"16,81%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,1M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,38,"33,63%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,1M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,29,"25,66%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,1M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,10,"8,85%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,1M
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,1M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,6,"5,31%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,1M
19,7. FRANCO PARISI FERNANDEZ,PDG,11,"9,73%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,1M
22,Válidamente Emitidos,113,"100,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,1M
23,Votos Nulos,0,"0,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,1M
24,Votos en Blanco,0,"0,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,1M
25,Total Votación,113,"100,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,1M
1,1. GABRIEL BORIC FONT,CS,23,"22,12%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,2M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,16,"15,38%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,2M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,33,"31,73%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,2M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,10,"9,62%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,2M
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,2M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,6,"5,77%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,2M
19,7. FRANCO PARISI FERNANDEZ,PDG,16,"15,38%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,2M
22,Válidamente Emitidos,104,"98,11%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,2M
23,Votos Nulos,2,"1,89%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,2M
24,Votos en Blanco,,"0,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,2M
25,Total Votación,106,"100,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,2M
1,1. GABRIEL BORIC FONT,CS,14,"12,28%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,3M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,36,"31,58%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,3M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,33,"28,95%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,3M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,6,"5,26%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,3M
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,3M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,8,"7,02%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,3M
19,7. FRANCO PARISI FERNANDEZ,PDG,17,"14,91%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,3M
22,Válidamente Emitidos,114,"95,80%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,3M
23,Votos Nulos,2,"1,68%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,3M
24,Votos en Blanco,3,"2,52%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,3M
25,Total Votación,119,"100,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,3M
1,1. GABRIEL BORIC FONT,CS,25,"19,53%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,4M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,37,"28,91%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,4M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,34,"26,56%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,4M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,8,"6,25%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,4M
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,78%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,4M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,9,"7,03%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,4M
19,7. FRANCO PARISI FERNANDEZ,PDG,14,"10,94%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,4M
22,Válidamente Emitidos,128,"100,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,4M
23,Votos Nulos,0,"0,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,4M
24,Votos en Blanco,0,"0,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,4M
25,Total Votación,128,"100,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,4M
1,1. GABRIEL BORIC FONT,CS,33,"28,95%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,5M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,28,"24,56%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,5M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,24,"21,05%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,5M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,5,"4,39%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,5M
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,5M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,6,"5,26%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,5M
19,7. FRANCO PARISI FERNANDEZ,PDG,18,"15,79%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,5M
22,Válidamente Emitidos,114,"99,13%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,5M
23,Votos Nulos,1,"0,87%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,5M
24,Votos en Blanco,0,"0,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,5M
25,Total Votación,115,"100,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,5M
1,1. GABRIEL BORIC FONT,CS,48,"30,77%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,6M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,33,"21,15%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,6M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,35,"22,44%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,6M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,16,"10,26%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,6M
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,28%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,6M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,8,"5,13%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,6M
19,7. FRANCO PARISI FERNANDEZ,PDG,14,"8,97%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,6M
22,Válidamente Emitidos,156,"99,36%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,6M
23,Votos Nulos,1,"0,64%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,6M
24,Votos en Blanco,0,"0,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,6M
25,Total Votación,157,"100,00%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,6M
1,1. GABRIEL BORIC FONT,CS,24,"18,90%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,7M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,31,"24,41%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,7M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,31,"24,41%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,7M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,11,"8,66%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,7M
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,57%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,7M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,9,"7,09%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,7M
19,7. FRANCO PARISI FERNANDEZ,PDG,19,"14,96%",DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,7M
22,Válidamente Emitidos,127,"97,69%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,7M
23,Votos Nulos,2,"1,54%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,7M
24,Votos en Blanco,1,"0,77%",,DE LOS RIOS,DISTRITO 24,CORRAL,CORRAL,ESCUELA BASICA DE CORRAL,7M
