,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,32,"27,12%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,113M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,30,"25,42%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,113M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,11,"9,32%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,113M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,6,"5,08%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,113M
13,5. EDUARDO ARTES BRICHETTI,UPA,3,"2,54%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,113M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,17,"14,41%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,113M
19,7. FRANCO PARISI FERNANDEZ,PDG,19,"16,10%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,113M
22,Válidamente Emitidos,118,"100,00%",,METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,113M
23,Votos Nulos,0,"0,00%",,METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,113M
24,Votos en Blanco,0,"0,00%",,METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,113M
25,Total Votación,118,"100,00%",,METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,113M
1,1. GABRIEL BORIC FONT,CS,32,"26,45%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,114M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,21,"17,36%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,114M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,14,"11,57%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,114M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,13,"10,74%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,114M
13,5. EDUARDO ARTES BRICHETTI,UPA,3,"2,48%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,114M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,21,"17,36%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,114M
19,7. FRANCO PARISI FERNANDEZ,PDG,17,"14,05%",METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,114M
22,Válidamente Emitidos,121,"98,37%",,METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,114M
23,Votos Nulos,1,"0,81%",,METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA,CERRO NAVIA,ESCUELA ALIANZA LOCAL: 1,114M
