,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,53,"30,46%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,17
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,64,"36,78%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,17
7,3. YASNA PROVOSTE CAMPILLAY,PDC,16,"9,20%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,17
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,17,"9,77%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,17
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,15%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,17
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,13,"7,47%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,17
19,7. FRANCO PARISI FERNANDEZ,PDG,9,"5,17%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,17
22,Válidamente Emitidos,174,"100,00%",,DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,17
23,Votos Nulos,0,"0,00%",,DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,17
24,Votos en Blanco,0,"0,00%",,DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,17
25,Total Votación,174,"100,00%",,DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,17
1,1. GABRIEL BORIC FONT,CS,49,"25,93%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,18
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,59,"31,22%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,18
7,3. YASNA PROVOSTE CAMPILLAY,PDC,24,"12,70%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,18
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,31,"16,40%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,18
13,5. EDUARDO ARTES BRICHETTI,UPA,4,"2,12%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,18
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,10,"5,29%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,18
19,7. FRANCO PARISI FERNANDEZ,PDG,12,"6,35%",DE VALPARAISO,DISTRITO 7,ALGARROBO,ALGARROBO,COLEGIO TERESA DE LOS ANDES-ALGARROBO,18
