,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,20,"21,28%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,1V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,34,"36,17%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,1V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,10,"10,64%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,1V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,14,"14,89%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,1V
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"1,06%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,1V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,3,"3,19%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,1V
19,7. FRANCO PARISI FERNANDEZ,PDG,12,"12,77%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,1V
22,Válidamente Emitidos,94,"100,00%",,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,1V
23,Votos Nulos,0,"0,00%",,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,1V
24,Votos en Blanco,0,"0,00%",,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,1V
25,Total Votación,94,"100,00%",,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,1V
1,1. GABRIEL BORIC FONT,CS,19,"16,10%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,2V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,35,"29,66%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,2V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,26,"22,03%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,2V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,22,"18,64%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,2V
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,2V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,10,"8,47%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,2V
19,7. FRANCO PARISI FERNANDEZ,PDG,6,"5,08%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,2V
22,Válidamente Emitidos,118,"98,33%",,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,2V
23,Votos Nulos,1,"0,83%",,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,2V
24,Votos en Blanco,1,"0,83%",,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,2V
25,Total Votación,120,"100,00%",,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,2V
1,1. GABRIEL BORIC FONT,CS,22,"19,82%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,3V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,32,"28,83%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,3V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,24,"21,62%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,3V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,18,"16,22%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,3V
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA,CHEPICA,COLEGIO BASICO DE CHEPICA,3V
