,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,4,"8,51%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,34,"72,34%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,1,"2,13%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,2,"4,26%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,2,"4,26%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
19,7. FRANCO PARISI FERNANDEZ,PDG,4,"8,51%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
22,Válidamente Emitidos,47,"100,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
23,Votos Nulos,0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
24,Votos en Blanco,0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
25,Total Votación,47,"100,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
1,1. GABRIEL BORIC FONT,CS,38,"29,46%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,47,"36,43%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,9,"6,98%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,15,"11,63%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,5,"3,88%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
19,7. FRANCO PARISI FERNANDEZ,PDG,15,"11,63%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
22,Válidamente Emitidos,129,"97,73%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
23,Votos Nulos,1,"0,76%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
24,Votos en Blanco,2,"1,52%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
25,Total Votación,132,"100,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
1,1. GABRIEL BORIC FONT,CS,35,"25,18%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,4M-5M-1V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,63,"45,32%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,4M-5M-1V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,18,"12,95%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,4M-5M-1V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,9,"6,47%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,4M-5M-1V
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,4M-5M-1V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,2,"1,44%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,4M-5M-1V
19,7. FRANCO PARISI FERNANDEZ,PDG,12,"8,63%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,4M-5M-1V
22,Válidamente Emitidos,139,"98,58%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,4M-5M-1V
23,Votos Nulos,1,"0,71%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,4M-5M-1V
24,Votos en Blanco,1,"0,71%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,4M-5M-1V
25,Total Votación,141,"100,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,4M-5M-1V
1,1. GABRIEL BORIC FONT,CS,31,"19,75%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,6M-3V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,72,"45,86%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,6M-3V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,15,"9,55%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,6M-3V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,13,"8,28%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,6M-3V
13,5. EDUARDO ARTES BRICHETTI,UPA,5,"3,18%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,6M-3V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,4,"2,55%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,6M-3V
19,7. FRANCO PARISI FERNANDEZ,PDG,17,"10,83%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,6M-3V
22,Válidamente Emitidos,157,"100,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,6M-3V
23,Votos Nulos,0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,6M-3V
24,Votos en Blanco,0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,6M-3V
25,Total Votación,157,"100,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,6M-3V
1,1. GABRIEL BORIC FONT,CS,26,"17,45%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,5V-6V-7V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,86,"57,72%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,5V-6V-7V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,14,"9,40%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,5V-6V-7V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,6,"4,03%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,5V-6V-7V
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,5V-6V-7V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,7,"4,70%",DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,5V-6V-7V
