,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,35,"28,69%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,28V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,31,"25,41%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,28V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,17,"13,93%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,28V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,17,"13,93%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,28V
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,82%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,28V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,7,"5,74%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,28V
19,7. FRANCO PARISI FERNANDEZ,PDG,14,"11,48%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,28V
22,Válidamente Emitidos,122,"96,06%",,DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,28V
23,Votos Nulos,2,"1,57%",,DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,28V
24,Votos en Blanco,3,"2,36%",,DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,28V
25,Total Votación,127,"100,00%",,DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,28V
1,1. GABRIEL BORIC FONT,CS,34,"25,37%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,29V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,38,"28,36%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,29V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,20,"14,93%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,29V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,15,"11,19%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,29V
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,75%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,29V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,7,"5,22%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,29V
19,7. FRANCO PARISI FERNANDEZ,PDG,19,"14,18%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,29V
22,Válidamente Emitidos,134,"97,10%",,DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,29V
23,Votos Nulos,,"0,00%",,DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,29V
24,Votos en Blanco,4,"2,90%",,DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,29V
25,Total Votación,138,"100,00%",,DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,29V
1,1. GABRIEL BORIC FONT,CS,37,"28,46%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,30V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,33,"25,38%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,30V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,11,"8,46%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,30V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,16,"12,31%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,30V
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,30V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,12,"9,23%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,30V
19,7. FRANCO PARISI FERNANDEZ,PDG,21,"16,15%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,30V
22,Válidamente Emitidos,130,"99,24%",,DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,30V
23,Votos Nulos,1,"0,76%",,DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,30V
24,Votos en Blanco,0,"0,00%",,DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,30V
25,Total Votación,131,"100,00%",,DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,30V
1,1. GABRIEL BORIC FONT,CS,40,"30,77%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,31V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,27,"20,77%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,31V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,17,"13,08%",DE LOS LAGOS,DISTRITO 26,ANCUD,ANCUD,COLEGIO EL PILAR EDUCACION BASICA,31V
