,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,27,"23,68%",METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,18,"15,79%",METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,25,"21,93%",METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,22,"19,30%",METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1M
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,75%",METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,8,"7,02%",METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1M
19,7. FRANCO PARISI FERNANDEZ,PDG,12,"10,53%",METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1M
22,Válidamente Emitidos,114,"99,13%",,METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1M
23,Votos Nulos,1,"0,87%",,METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1M
24,Votos en Blanco,0,"0,00%",,METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1M
25,Total Votación,115,"100,00%",,METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1M
1,1. GABRIEL BORIC FONT,CS,32,"22,54%",METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,2M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,26,"18,31%",METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,2M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,35,"24,65%",METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,2M
