,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,22,"13,50%",DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,20M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,36,"22,09%",DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,20M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,15,"9,20%",DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,20M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,12,"7,36%",DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,20M
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,61%",DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,20M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,18,"11,04%",DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,20M
19,7. FRANCO PARISI FERNANDEZ,PDG,59,"36,20%",DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,20M
22,Válidamente Emitidos,163,"98,79%",,DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,20M
23,Votos Nulos,1,"0,61%",,DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,20M
24,Votos en Blanco,1,"0,61%",,DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,20M
25,Total Votación,165,"100,00%",,DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,20M
1,1. GABRIEL BORIC FONT,CS,22,"13,25%",DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,21M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,34,"20,48%",DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,21M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,23,"13,86%",DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,21M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,4,"2,41%",DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,21M
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,20%",DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,21M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,20,"12,05%",DE TARAPACA,DISTRITO 2,ALTO HOSPICIO,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,21M
