,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,41,"24,55%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,30V-31V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,64,"38,32%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,30V-31V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,18,"10,78%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,30V-31V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,18,"10,78%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,30V-31V
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,30V-31V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,12,"7,19%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,30V-31V
19,7. FRANCO PARISI FERNANDEZ,PDG,14,"8,38%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,30V-31V
22,Válidamente Emitidos,167,"99,40%",,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,30V-31V
23,Votos Nulos,0,"0,00%",,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,30V-31V
24,Votos en Blanco,1,"0,60%",,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,30V-31V
25,Total Votación,168,"100,00%",,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,30V-31V
1,1. GABRIEL BORIC FONT,CS,20,"20,83%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,32V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,23,"23,96%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,32V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,14,"14,58%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,32V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,15,"15,62%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,32V
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"2,08%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,32V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,15,"15,62%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,32V
19,7. FRANCO PARISI FERNANDEZ,PDG,7,"7,29%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,32V
22,Válidamente Emitidos,96,"97,96%",,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,32V
23,Votos Nulos,1,"1,02%",,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,32V
24,Votos en Blanco,1,"1,02%",,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,32V
25,Total Votación,98,"100,00%",,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,32V
1,1. GABRIEL BORIC FONT,CS,31,"28,18%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,33V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,37,"33,64%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,33V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,17,"15,45%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,33V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,8,"7,27%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,33V
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,91%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,33V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,11,"10,00%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,33V
19,7. FRANCO PARISI FERNANDEZ,PDG,5,"4,55%",METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,33V
22,Válidamente Emitidos,110,"100,00%",,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,33V
23,Votos Nulos,0,"0,00%",,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE,CAPITAN AVALOS,ESCUELA BASICA JOSE MARTI,33V
