,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,31,"19,87%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,16V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,37,"23,72%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,16V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,27,"17,31%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,16V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,13,"8,33%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,16V
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,64%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,16V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,8,"5,13%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,16V
19,7. FRANCO PARISI FERNANDEZ,PDG,39,"25,00%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,16V
22,Válidamente Emitidos,156,"98,73%",,DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,16V
23,Votos Nulos,2,"1,27%",,DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,16V
24,Votos en Blanco,0,"0,00%",,DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,16V
25,Total Votación,158,"100,00%",,DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,16V
1,1. GABRIEL BORIC FONT,CS,38,"28,15%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,17V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,29,"21,48%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,17V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,12,"8,89%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,17V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,16,"11,85%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,17V
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,74%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,17V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,8,"5,93%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,17V
19,7. FRANCO PARISI FERNANDEZ,PDG,31,"22,96%",DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN,AISEN,ESCUELA BASICA LITORAL AUSTRAL,17V
