,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,11,"9,02%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,22V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,62,"50,82%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,22V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,17,"13,93%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,22V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,9,"7,38%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,22V
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,82%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,22V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,11,"9,02%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,22V
19,7. FRANCO PARISI FERNANDEZ,PDG,11,"9,02%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,22V
22,Válidamente Emitidos,122,"98,39%",,DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,22V
23,Votos Nulos,2,"1,61%",,DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,22V
24,Votos en Blanco,0,"0,00%",,DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,22V
25,Total Votación,124,"100,00%",,DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,22V
1,1. GABRIEL BORIC FONT,CS,20,"14,18%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,23V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,49,"34,75%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,23V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,25,"17,73%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,23V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,13,"9,22%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,23V
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,23V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,16,"11,35%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,23V
19,7. FRANCO PARISI FERNANDEZ,PDG,18,"12,77%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,23V
22,Válidamente Emitidos,141,"97,92%",,DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,23V
23,Votos Nulos,3,"2,08%",,DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,23V
24,Votos en Blanco,0,"0,00%",,DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,23V
25,Total Votación,144,"100,00%",,DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,23V
1,1. GABRIEL BORIC FONT,CS,32,"21,33%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,24V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,56,"37,33%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,24V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,26,"17,33%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,24V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,17,"11,33%",DE LA ARAUCANIA,DISTRITO 23,CARAHUE,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,24V
