,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,19,"13,01%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,21V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,38,"26,03%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,21V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,29,"19,86%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,21V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,20,"13,70%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,21V
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,68%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,21V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,6,"4,11%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,21V
19,7. FRANCO PARISI FERNANDEZ,PDG,33,"22,60%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,21V
22,Válidamente Emitidos,146,"97,33%",,DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,21V
23,Votos Nulos,3,"2,00%",,DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,21V
24,Votos en Blanco,1,"0,67%",,DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,21V
25,Total Votación,150,"100,00%",,DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,21V
1,1. GABRIEL BORIC FONT,CS,24,"15,79%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,22V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,37,"24,34%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,22V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,23,"15,13%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,22V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,15,"9,87%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,22V
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,66%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,22V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,13,"8,55%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,22V
19,7. FRANCO PARISI FERNANDEZ,PDG,39,"25,66%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,22V
22,Válidamente Emitidos,152,"99,35%",,DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,22V
23,Votos Nulos,1,"0,65%",,DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,22V
24,Votos en Blanco,0,"0,00%",,DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,22V
25,Total Votación,153,"100,00%",,DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,22V
1,1. GABRIEL BORIC FONT,CS,24,"14,72%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,23V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,50,"30,67%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,23V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,20,"12,27%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,23V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,18,"11,04%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,23V
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,23%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,23V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,13,"7,98%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,23V
19,7. FRANCO PARISI FERNANDEZ,PDG,36,"22,09%",DEL MAULE,DISTRITO 17,CONSTITUCION,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,23V
