,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,15,"13,04%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,1M-2M
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,10,"8,70%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,1M-2M
7,3. YASNA PROVOSTE CAMPILLAY,PDC,59,"51,30%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,1M-2M
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,4,"3,48%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,1M-2M
13,5. EDUARDO ARTES BRICHETTI,UPA,3,"2,61%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,1M-2M
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,4,"3,48%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,1M-2M
19,7. FRANCO PARISI FERNANDEZ,PDG,20,"17,39%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,1M-2M
22,Válidamente Emitidos,115,"95,04%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,1M-2M
23,Votos Nulos,3,"2,48%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,1M-2M
24,Votos en Blanco,3,"2,48%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,1M-2M
25,Total Votación,121,"100,00%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,1M-2M
1,1. GABRIEL BORIC FONT,CS,19,"12,42%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3M-1V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,20,"13,07%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3M-1V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,62,"40,52%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3M-1V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,15,"9,80%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3M-1V
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,31%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3M-1V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,8,"5,23%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3M-1V
19,7. FRANCO PARISI FERNANDEZ,PDG,27,"17,65%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3M-1V
22,Válidamente Emitidos,153,"97,45%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3M-1V
23,Votos Nulos,1,"0,64%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3M-1V
24,Votos en Blanco,3,"1,91%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3M-1V
25,Total Votación,157,"100,00%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3M-1V
1,1. GABRIEL BORIC FONT,CS,26,"19,40%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,4M-2V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,19,"14,18%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,4M-2V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,47,"35,07%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,4M-2V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,5,"3,73%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,4M-2V
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,4M-2V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,6,"4,48%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,4M-2V
19,7. FRANCO PARISI FERNANDEZ,PDG,31,"23,13%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,4M-2V
22,Válidamente Emitidos,134,"99,26%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,4M-2V
23,Votos Nulos,1,"0,74%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,4M-2V
24,Votos en Blanco,0,"0,00%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,4M-2V
25,Total Votación,135,"100,00%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,4M-2V
1,1. GABRIEL BORIC FONT,CS,26,"19,70%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3V-4V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,23,"17,42%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3V-4V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,55,"41,67%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3V-4V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,4,"3,03%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3V-4V
13,5. EDUARDO ARTES BRICHETTI,UPA,0,"0,00%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3V-4V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,4,"3,03%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3V-4V
19,7. FRANCO PARISI FERNANDEZ,PDG,20,"15,15%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3V-4V
22,Válidamente Emitidos,132,"98,51%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3V-4V
23,Votos Nulos,1,"0,75%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3V-4V
24,Votos en Blanco,1,"0,75%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3V-4V
25,Total Votación,134,"100,00%",,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3V-4V
1,1. GABRIEL BORIC FONT,CS,13,"16,46%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,5V-6
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,11,"13,92%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,5V-6
7,3. YASNA PROVOSTE CAMPILLAY,PDC,29,"36,71%",DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,5V-6
